order_id,amount,profit,quantity,category,sub_category
B-26101,7,-3,2,Clothing,Skirt
B-26102,30,13,1,Clothing,T-shirt
B-26103,1854,433,5,Furniture,Bookcases
B-26104,1319,567,5,Electronics,Printers
B-26104,105,20,2,Clothing,Stole
B-26104,17,0,1,Clothing,Hankerchief
B-26104,183,-66,5,Electronics,Phones
B-26105,911,202,7,Furniture,Chairs
B-26105,74,9,3,Clothing,Shirt
B-26105,58,-42,2,Furniture,Chairs
B-26105,100,-58,4,Clothing,Hankerchief
B-26106,60,13,2,Clothing,T-shirt
B-26107,45,-15,2,Furniture,Chairs
B-26108,114,-39,5,Clothing,Kurti
B-26108,52,14,2,Clothing,Stole
B-26108,91,15,6,Clothing,T-shirt
B-26108,37,-5,3,Clothing,T-shirt
B-26108,1021,-48,4,Electronics,Electronic Games
B-26108,1709,564,3,Clothing,Trousers
B-26108,57,24,5,Clothing,Leggings
B-26109,1246,62,3,Furniture,Bookcases
B-26109,27,12,1,Clothing,Stole
B-26109,313,-13,5,Furniture,Bookcases
B-26109,269,33,5,Furniture,Chairs
B-26109,434,26,11,Clothing,Shirt
B-26110,306,-147,3,Clothing,Saree
B-26110,133,5,5,Clothing,Stole
B-26110,743,89,5,Electronics,Printers
B-26110,98,9,2,Furniture,Furnishings
B-26111,16,5,1,Clothing,Stole
B-26112,129,11,2,Electronics,Phones
B-26113,322,-113,4,Clothing,Saree
B-26114,56,18,2,Clothing,Hankerchief
B-26115,89,6,5,Clothing,Saree
B-26115,1361,197,9,Furniture,Bookcases
B-26115,49,5,4,Clothing,Hankerchief
B-26116,53,24,1,Clothing,Hankerchief
B-26116,867,251,5,Electronics,Phones
B-26116,327,-39,1,Electronics,Phones
B-26116,45,12,4,Clothing,Hankerchief
B-26117,60,3,3,Clothing,Saree
B-26117,32,8,5,Clothing,Hankerchief
B-26117,114,11,4,Clothing,T-shirt
B-26117,169,55,4,Clothing,Saree
B-26118,116,22,1,Electronics,Accessories
B-26119,372,59,3,Electronics,Printers
B-26120,32,1,2,Clothing,Stole
B-26121,336,123,3,Electronics,Phones
B-26121,26,7,4,Clothing,Hankerchief
B-26121,314,-239,13,Clothing,Hankerchief
B-26121,189,60,4,Furniture,Furnishings
B-26121,595,119,4,Furniture,Bookcases
B-26121,96,48,5,Clothing,Leggings
B-26121,176,-13,5,Furniture,Furnishings
B-26121,43,21,3,Clothing,Shirt
B-26121,632,-316,6,Clothing,Saree
B-26122,30,-5,2,Furniture,Furnishings
B-26123,357,139,2,Clothing,Saree
B-26124,816,-96,3,Electronics,Printers
B-26124,299,0,6,Clothing,Stole
B-26124,785,52,2,Electronics,Phones
B-26124,18,8,2,Clothing,Hankerchief
B-26125,163,81,2,Electronics,Accessories
B-26126,1954,782,3,Electronics,Phones
B-26126,46,0,4,Clothing,Leggings
B-26126,216,50,4,Clothing,Stole
B-26126,527,26,3,Electronics,Electronic Games
B-26127,78,-6,2,Furniture,Furnishings
B-26127,63,17,6,Clothing,Leggings
B-26127,25,-11,1,Clothing,Stole
B-26128,637,50,5,Clothing,Saree
B-26128,7,-3,2,Clothing,Skirt
B-26128,141,28,7,Furniture,Furnishings
B-26129,191,51,5,Clothing,Shirt
B-26129,90,29,5,Clothing,T-shirt
B-26130,11,-8,2,Clothing,Skirt
B-26131,26,10,4,Clothing,Hankerchief
B-26131,40,-12,3,Clothing,Shirt
B-26131,502,84,4,Electronics,Phones
B-26131,18,3,2,Clothing,Hankerchief
B-26132,29,11,4,Clothing,Skirt
B-26133,644,167,2,Electronics,Printers
B-26134,88,19,2,Clothing,Shirt
B-26134,221,26,7,Furniture,Furnishings
B-26134,100,28,2,Clothing,Hankerchief
B-26134,109,40,1,Furniture,Furnishings
B-26135,21,-6,3,Clothing,Leggings
B-26136,71,-44,5,Electronics,Accessories
B-26136,22,-6,1,Furniture,Furnishings
B-26136,273,-87,4,Electronics,Phones
B-26136,22,-15,4,Clothing,Kurti
B-26137,148,59,3,Clothing,Hankerchief
B-26137,496,-79,2,Clothing,Trousers
B-26137,1275,-1148,7,Furniture,Bookcases
B-26137,7,-3,2,Clothing,Skirt
B-26137,105,46,2,Clothing,Stole
B-26138,98,-12,2,Electronics,Electronic Games
B-26139,30,11,5,Clothing,Hankerchief
B-26139,32,6,3,Clothing,Shirt
B-26139,23,-6,4,Clothing,Hankerchief
B-26140,192,-146,3,Clothing,Saree
B-26141,291,93,2,Electronics,Printers
B-26141,96,48,5,Clothing,Leggings
B-26141,18,6,3,Clothing,Hankerchief
B-26141,336,71,3,Furniture,Bookcases
B-26141,823,-18,7,Furniture,Chairs
B-26142,85,-9,4,Clothing,Saree
B-26142,503,-56,2,Clothing,Trousers
B-26142,134,-13,3,Electronics,Electronic Games
B-26142,86,-55,6,Clothing,Saree
B-26143,44,20,2,Clothing,T-shirt
B-26143,189,87,7,Clothing,Stole
B-26143,342,-103,4,Electronics,Electronic Games
B-26143,7,1,1,Clothing,Hankerchief
B-26144,189,87,7,Clothing,Stole
B-26144,852,51,5,Furniture,Bookcases
B-26144,36,15,3,Clothing,Stole
B-26144,744,119,6,Electronics,Printers
B-26145,44,-34,3,Clothing,Stole
B-26145,1829,-56,6,Furniture,Tables
B-26146,51,14,2,Clothing,Stole
B-26146,414,199,3,Electronics,Phones
B-26146,765,-153,2,Electronics,Phones
B-26146,100,-58,4,Clothing,Hankerchief
B-26146,147,44,3,Clothing,Saree
B-26146,88,11,3,Electronics,Accessories
B-26147,315,-8,3,Furniture,Chairs
B-26147,195,12,9,Clothing,Shirt
B-26147,365,107,3,Electronics,Phones
B-26148,294,109,7,Electronics,Accessories
B-26148,767,-353,5,Clothing,Trousers
B-26149,116,-56,5,Clothing,Stole
B-26149,19,-1,1,Clothing,Shirt
B-26149,148,-91,2,Electronics,Phones
B-26149,22,-8,4,Clothing,Hankerchief
B-26150,71,0,8,Clothing,Skirt
B-26150,55,18,2,Clothing,Kurti
B-26150,19,8,2,Clothing,Hankerchief
B-26150,93,-84,3,Clothing,Saree
B-26150,192,-146,3,Clothing,Saree
B-26150,10,-1,1,Clothing,Leggings
B-26150,58,0,4,Clothing,Saree
B-26150,34,-13,5,Clothing,Leggings
B-26150,31,-3,4,Clothing,Saree
B-26150,103,21,7,Clothing,Stole
B-26151,41,19,5,Clothing,Hankerchief
B-26151,916,192,11,Electronics,Phones
B-26151,105,33,6,Clothing,Saree
B-26152,49,3,1,Clothing,Shirt
B-26152,55,4,2,Clothing,Stole
B-26152,70,24,3,Clothing,Stole
B-26153,560,44,3,Clothing,Saree
B-26153,513,215,2,Electronics,Accessories
B-26153,32,-16,6,Clothing,Saree
B-26153,2292,127,7,Furniture,Bookcases
B-26153,220,-19,2,Clothing,Saree
B-26153,149,17,4,Furniture,Furnishings
B-26154,205,-119,3,Clothing,Saree
B-26154,21,-10,4,Clothing,Leggings
B-26154,133,46,5,Clothing,Shirt
B-26154,48,16,3,Clothing,Shirt
B-26154,14,-1,4,Clothing,Kurti
B-26154,86,-21,1,Electronics,Electronic Games
B-26154,7,-3,2,Clothing,Skirt
B-26155,315,-8,3,Furniture,Chairs
B-26155,342,-103,4,Electronics,Electronic Games
B-26155,128,55,1,Clothing,Saree
B-26156,61,1,2,Furniture,Furnishings
B-26156,1506,-266,6,Electronics,Printers
B-26156,24,8,2,Clothing,Skirt
B-26156,83,-48,1,Furniture,Bookcases
B-26156,50,15,4,Clothing,Leggings
B-26156,11,5,2,Clothing,Hankerchief
B-26156,73,-36,3,Furniture,Chairs
B-26157,53,2,4,Clothing,Hankerchief
B-26158,163,81,2,Electronics,Accessories
B-26159,186,-141,9,Clothing,Shirt
B-26159,30,-10,2,Clothing,Stole
B-26159,27,-20,2,Clothing,Hankerchief
B-26160,23,4,2,Clothing,Skirt
B-26160,133,-56,2,Furniture,Chairs
B-26161,83,-48,1,Furniture,Bookcases
B-26162,137,-41,3,Electronics,Phones
B-26162,955,305,3,Electronics,Printers
B-26162,42,7,2,Clothing,Kurti
B-26163,45,6,3,Clothing,Shirt
B-26163,736,346,5,Electronics,Printers
B-26163,40,16,3,Clothing,Hankerchief
B-26164,62,6,5,Clothing,Hankerchief
B-26165,140,6,5,Clothing,Saree
B-26165,117,-6,3,Electronics,Phones
B-26165,424,-272,5,Electronics,Phones
B-26165,676,151,3,Electronics,Printers
B-26166,648,50,6,Electronics,Electronic Games
B-26166,48,16,3,Clothing,Shirt
B-26166,2244,247,4,Clothing,Trousers
B-26166,263,-31,9,Electronics,Electronic Games
B-26166,16,0,1,Clothing,Saree
B-26167,217,72,2,Furniture,Furnishings
B-26168,127,29,3,Furniture,Furnishings
B-26168,187,30,4,Electronics,Accessories
B-26168,22,-12,3,Clothing,Stole
